Title,Rating,Runtime,Directors,Writers,Stars,Genres,Popularity,Budget,Gross Worldwide,URL
The Boy Who Could Fly,6.6,1h 54m,Nick Castle,Nick Castle,"Lucy Deakins, Jay Underwood, Bonnie Bedelia, Fred Savage, Colleen Dewhurst, Fred Gwynne, Mindy Cohn, Janet MacLachlan, Jennifer Michas, Michelle Bardeaux","Drama, Fantasy, Romance",N/A,N/A,"$7,177,431",https://www.imdb.com/title/tt0090768/
Cele patru pene,7.4,2h 9m,Zoltan Korda,"Writers, R.C. Sherriff, Lajos Biró, Arthur Wimperis, ","John Clements, Ralph Richardson, C. Aubrey Smith, June Duprez, Allan Jeayes, Jack Allen, Donald Gray, Frederick Culley, Clive Baxter, Robert Rendel","Adventure Epic, Desert Adventure, Period Drama, Quest, Romantic Epic, Adventure, Drama, History, Romance, War",N/A,N/A,N/A,https://www.imdb.com/title/tt0031334/
The Impostors,6.5,1h 41m,Stanley Tucci,Stanley Tucci,"Oliver Platt, Stanley Tucci, Walker Jones, Jessica Walling, David Lipman, E. Katherine Kerr, George Guidall, William Hill, Alfred Molina, Michael Emerson",Comedy,N/A,N/A,"$2,198,044",https://www.imdb.com/title/tt0120823/
Superfly,6.4,1h 31m,Gordon Parks Jr.,Phillip Fenty,"Ron O'Neal, Carl Lee, Sheila Frazier, Julius Harris, Charles McGregor, Nate Adams, Polly Niles, Yvonne Delaine, Henry Shapiro, K.C.","Drug Crime, Action, Crime, Drama, Music, Thriller",N/A,"$58,000 (estimated)",N/A,https://www.imdb.com/title/tt0069332/
Cumplit de fericit,6.7,1h 39m,Henrik Ruben Genz,"Henrik Ruben Genz, Dunja Gry Jensen, Erling Jepsen","Jakob Cedergren, Lene Maria Christensen, Kim Bodnia, Lars Brygmann, Anders Hove, Jens Jørn Spottag, Henrik Lykkegaard, Bodil Jørgensen, Peter Hesse Overgaard, Niels Skousen","Danish, Dark Comedy, Crime, Drama, Thriller",N/A,N/A,"$2,828,984",https://www.imdb.com/title/tt1087890/
Il fantasma dell'opera,4.3,1h 39m,Dario Argento,"Writers, Gaston Leroux, Gérard Brach, Dario Argento, ","Julian Sands, Asia Argento, Andrea Di Stefano, Nadia Rinaldi, Coralina Cataldi-Tassoni, István Bubik, Lucia Guzzardi, Aldo Massasso, Zoltan Barabas, Gianni Franco","Italian, Horror",N/A,"$10,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0119889/
Noul Domn Jordan,7.5,1h 34m,Alexander Hall,"Sidney Buchman, Seton I. Miller, Harry Segall","Robert Montgomery, Evelyn Keyes, Claude Rains, Rita Johnson, Edward Everett Horton, James Gleason, John Emery, Donald MacBride, Don Costello, Halliwell Hobbes","Body Swap Comedy, Comedy, Fantasy, Romance",N/A,N/A,N/A,https://www.imdb.com/title/tt0033712/
X - omul cu raze X in ochi,6.6,1h 19m,Roger Corman,"Robert Dillon, Ray Russell","Ray Milland, Diana Van der Vlis, Harold J. Stone, John Hoyt, Don Rickles, Budd Albright, Leon Alton, Morris Ankrum, Benjie Bancroft, George DeNormand","Horror, Sci-Fi, Thriller",N/A,"$250,000 (estimated)",N/A,https://www.imdb.com/title/tt0057693/
Tekken: Buraddo benjensu,5.8,1h 32m,Yoichi Mouri,Dai Satô,"Isshin Chiba, Unshô Ishizuka, Yuki Matsuoka, Mamoru Miyano, Ryôtarô Okiayu, Maaya Sakamoto, Masanori Shinohara, Hidenari Ugaki, Akeno Watanabe, Bennett Abara","Japanese, Computer Animation, Action, Animation, Fantasy, Sci-Fi",N/A,N/A,N/A,https://www.imdb.com/title/tt2005363/
Cadence,6.5,1h 37m,Martin Sheen,"Dennis Shryack, Gordon Weaver","Charlie Sheen, Jay Brazeau, Matt Clark, Tom McBeath, David Glyn-Jones, Samantha Langevin, Jenn Griffin, Tony Pantages, Deryl Hayes, David Michael O'Neill",Drama,N/A,"$4,000,000 (estimated)","$2,070,871",https://www.imdb.com/title/tt0101531/
A Troll in Central Park,5.3,1h 16m,"Don Bluth, Gary Goldman","Writers, Stu Krieger, Don Bluth, Gary Goldman, ","Dom DeLuise, Cloris Leachman, Charles Nelson Reilly, Jonathan Pryce, Hayley Mills, Phillip Glasser, Tawny Sunshine Glover, Neil Ross, Will Ryan, Pat Musick","Hand-Drawn Animation, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical",N/A,N/A,"$71,368",https://www.imdb.com/title/tt0108395/
Granita,6.4,1h 48m,Tony Richardson,"Deric Washburn, Walon Green, David Freeman","Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates, Elpidia Carrillo, Shannon Wilcox, Manuel Viescas, Jeff Morris, Mike Gomez, Dirk Blocker","Tragedy, Crime, Drama",N/A,"$13,500,000 (estimated)","$6,118,683",https://www.imdb.com/title/tt0083678/
Invazia broaştelor,4.4,1h 31m,George McCowan,"Robert Hutchison, Robert Blees","Ray Milland, Sam Elliott, Joan Van Ark, Adam Roarke, Judy Pace, Lynn Borden, Mae Mercer, David Gilliam, Nicholas Cortland, George Skaff","B-Horror, Dystopian Sci-Fi, Horror, Mystery, Sci-Fi, Thriller",N/A,"$200,000 (estimated)",N/A,https://www.imdb.com/title/tt0068615/
Suddenly,6.8,1h 17m,Lewis Allen,Richard Sale,"Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates, Kim Charney, Willis Bouchey, Paul Frees, Christopher Dark, James O'Hara, Kem Dibbs","Film Noir, Psychological Thriller, Crime, Drama, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt0047542/
Breakheart Pass,6.7,1h 35m,Tom Gries,Alistair MacLean,"Charles Bronson, Ben Johnson, Richard Crenna, Jill Ireland, Charles Durning, Ed Lauter, Bill McKinney, David Huddleston, Roy Jenson, Rayford Barnes","Suspense Mystery, Whodunnit, Drama, Mystery, Western",N/A,N/A,N/A,https://www.imdb.com/title/tt0072735/
San xia hao ren,7.3,1h 51m,Jia Zhang-ke,"Jia Zhang-ke, Na Guan, Jiamin Sun","Tao Zhao, Zhou Lan, Sanming Han, Lizhen Ma, Hongwei Wang, Kai Chen, Ronghu Chen, Jian Chieng, Chuanan Fang, Zhongming He","Mandarin, Drama",N/A,"CN¥10,000,000 (estimated)","$2,504,465",https://www.imdb.com/title/tt0859765/
Sclavia Umana,7.0,1h 23m,John Cromwell,"Lester Cohen, W. Somerset Maugham, Ann Coleman","Bette Davis, Leslie Howard, Frances Dee, Kay Johnson, Reginald Denny, Alan Hale, Reginald Sheffield, Reginald Owen, Desmond Roberts, Charles Coleman","Dark Romance, Film Noir, Medical Drama, Tragedy, Tragic Romance, Drama, Romance",N/A,"$403,000 (estimated)",N/A,https://www.imdb.com/title/tt0025586/
Kansen,6.0,1h 38m,Masayuki Ochiai,"Ryôichi Kimizuka, Masayuki Ochiai","Michiko Hada, Mari Hoshino, Tae Kimura, Yôko Maki, Kaho Minami, Moro Morooka, Shirô Sano, Kôichi Satô, Masanobu Takashima, Isao Yatsu","Japanese, Body Horror, Drama, Horror, Sci-Fi",N/A,N/A,"$7,001,064",https://www.imdb.com/title/tt0418778/
Losing Isaiah,6.4,1h 51m,Stephen Gyllenhaal,"Seth Margolis, Naomi Foner","Jessica Lange, Halle Berry, David Strathairn, Cuba Gooding Jr., Daisy Eagan, Marc John Jefferies, Samuel L. Jackson, Joie Lee, Regina Taylor, LaTanya Richardson Jackson",Drama,N/A,"$17,000,000 (estimated)","$7,603,766",https://www.imdb.com/title/tt0113691/
The Firm,5.8,1h 30m,Nick Love,"Al Ashton, Nick Love","Paul Anderson, Calum MacNab, Daniel Mays, Doug Allen, Joe Jackson, Richie Campbell, James Kelly, Jaf Ibrahim, Tommy Nash, Eddie Webber","Coming-of-Age, Legal Drama, Comedy, Drama, Mystery, Thriller",N/A,N/A,"$1,094,777",https://www.imdb.com/title/tt1313113/
Love Stinks,5.7,1h 34m,Jeff Franklin,Jeff Franklin,"French Stewart, Bridgette Wilson-Sampras, Bill Bellamy, Tyra Banks, Steve Hytner, Jason Bateman, Tiffani Thiessen, Ellis Williams, Boogie Knights, Ivana Milicevic","Dark Comedy, Comedy",N/A,"$4,000,000 (estimated)","$2,924,635",https://www.imdb.com/title/tt0188863/
Termen-limita,4.6,1h 25m,Sean McConville,Sean McConville,"Brittany Murphy, Thora Birch, Tammy Blanchard, Marc Blucas, Claudia Troll, Michael Piscitelli","Drama, Horror, Thriller",N/A,"$1,800,000 (estimated)",N/A,https://www.imdb.com/title/tt1242618/
Doi super escroci,6.6,2h,Giuseppe Colizzi,"Writers, Giuseppe Colizzi, Barbara Alberti, Amedeo Pagani, ","Terence Hill, Bud Spencer, Reinhard Kolldehoff, Alexander Allerson, Ferdinando Murolo, Antoine Saint-John, Riccardo Pizzuti, Carlos Muñoz, Marcello Verziera, Sergio Bruzzichini","Italian, Jungle Adventure, Slapstick, Action, Adventure, Comedy",N/A,N/A,N/A,https://www.imdb.com/title/tt0069095/
Lemming,6.7,2h 9m,Dominik Moll,"Gilles Marchand, Dominik Moll","Laurent Lucas, Charlotte Gainsbourg, Charlotte Rampling, André Dussollier, Jacques Bonnaffé, Véronique Affholder, Michel Cassagne, Florence Desille, Emmanuel Gayet, Félix Gonzales","French, Drama, Mystery, Thriller",N/A,N/A,"$3,580,017",https://www.imdb.com/title/tt0415932/
Otis,5.9,1h 40m,Tony Krantz,"Erik Jendresen, Thomas Schnauz","Tarah Paige, Bostin Christopher, Ashley Johnson, Tracy Scoggins, Illeana Douglas, Daniel Stern, Gary Kraus, Kristen Trucksess, Jared Kusnitz, Angelo Custino","Dark Comedy, Satire, Comedy, Crime, Horror, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt0996967/
Gurotesuku,4.7,1h 13m,Kôji Shiraishi,Kôji Shiraishi,"Kotoha Hiroyama, Hiroaki Kawatsure, Shigeo Ôsako, Tsugumi Nagasawa","Japanese, Body Horror, Splatter Horror, Horror, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt1352369/
Zona,7.0,1h 37m,Rodrigo Plá,"Laura Santullo, Rodrigo Plá","Daniel Giménez Cacho, Daniel Tovar, Alan Chávez, Carlos Bardem, Mario Zaragoza, Marina de Tavira, Maribel Verdú, Fernando Becerril, Andrés Montiel, Claudio Obregón","Spanish, Drama, Thriller",N/A,N/A,"$2,795,399",https://www.imdb.com/title/tt1039652/
Sissi - Die junge Kaiserin,6.6,1h 47m,Ernst Marischka,Ernst Marischka,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Gustav Knuth, Vilma Degischer, Walther Reyer, Senta Wengraf, Josef Meinrad, Iván Petrovich, Helene Lauterböck","German, Costume Drama, Drama, History",N/A,N/A,N/A,https://www.imdb.com/title/tt0049762/
Nascut in LA,6.1,1h 25m,Cheech Marin,Cheech Marin,"Cheech Marin, Paul Rodriguez, Daniel Stern, Kamala Lopez, Jan-Michael Vincent, Lupe Ontiveros, Urbanie Lucero, Chastity Ayala, David Perez, Neith Hunter","Dark Comedy, Satire, Comedy",N/A,N/A,"$17,355,263",https://www.imdb.com/title/tt0092690/
Obitaemyy ostrov,5.1,1h 55m,Fedor Bondarchuk,"Writers, Eduard Volodarskiy, Marina Dyachenko, Sergey Dyachenko, ","Vasiliy Stepanov, Yulia Snigir, Pyotr Fyodorov, Sergey Garmash, Gosha Kutsenko, Aleksey Serebryakov, Mikhail Evlanov, Andrey Merzlikin, Anna Mikhalkova, Maksim Sukhanov","Russian, Action, Adventure, Sci-Fi",N/A,"$29,500,000 (estimated)","$23,772,559",https://www.imdb.com/title/tt0972558/
Live!,5.8,1h 36m,Bill Guttentag,Bill Guttentag,"Eva Mendes, David Krumholtz, Rob Brown, Katie Cassidy, Jay Hernandez, Eric Lively, Monet Mazur, Jeffrey Dean Morgan, Danny Comden, Paul Michael Glaser",Drama,N/A,N/A,"$2,228,368",https://www.imdb.com/title/tt0810945/
Sirena de pe Mississippi,6.9,2h 3m,François Truffaut,"Cornell Woolrich, François Truffaut","Catherine Deneuve, Jean-Paul Belmondo, Nelly Borgeaud, Martine Ferrière, Marcel Berbert, Yves Drouhet, Michel Bouquet, Roland Thénot","French, Crime, Drama, Romance",N/A,"FRF 8,000,000 (estimated)","$33,725",https://www.imdb.com/title/tt0064990/
Komt een vrouw bij de dokter,6.8,1h 53m,Reinout Oerlemans,"Writers, Mischa Alexander, Gert Embrechts, Kluun, ","Carice van Houten, Barry Atsma, Anna Drijver, Jeroen Willems, Sacha Bulthuis, Pierre Bokma, Gijs Scholten van Aschat, Dirk Zeelenberg, David Lucieer, Eva Smid","Dutch, Drama, Romance",N/A,"€3,675,000 (estimated)","$13,138,456",https://www.imdb.com/title/tt1365474/
City of Ghosts,5.9,1h 56m,Matt Dillon,"Matt Dillon, Barry Gifford","Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu, Kem Sereyvuth, Stellan Skarsgård, Rose Byrne, Shawn Andrews, Chalee Sankhavesa, Christopher Curry","Caper, Crime, Drama, Thriller",N/A,"$17,500,000 (estimated)","$1,277,187",https://www.imdb.com/title/tt0164003/
Sen Aydinlatirsin Geceyi,7.7,1h 47m,Onur Ünlü,Onur Ünlü,"Ali Atay, Demet Evgâr, Damla Sönmez, Ahmet Mümtaz Taylan, Ercan Kesal, Ezgi Mola, Serkan Keskin, Nadir Saribacak, Derya Alabora, Aysenil Samlioglu","Turkish, Drama, Fantasy, Romance",N/A,N/A,N/A,https://www.imdb.com/title/tt2905772/
Sciuscià,8.0,1h 31m,Vittorio De Sica,"Writers, Sergio Amidei, Adolfo Franci, Cesare Giulio Viola, ","Franco Interlenghi, Rinaldo Smordoni, Annielo Mele, Bruno Ortensi, Emilio Cigoli, Pacifico Astrologo, Maria Campi, Antonio Carlino, Angelo D'Amico, Francesco De Nicola","Italian, Drama",N/A,"$1,000,000 (estimated)","$34,677",https://www.imdb.com/title/tt0038913/
Vincent will Meer,6.9,1h 36m,Ralf Huettner,Florian David Fitz,"Florian David Fitz, Karoline Herfurth, Heino Ferch, Katharina Müller-Elmau, Johannes Allmayer, Karin Thaler, Tim Seyfi, Christoph Zrenner, Ulrich Boris Pöppl, Lothar Lengowski","German, Comedy, Drama",N/A,N/A,"$7,892,908",https://www.imdb.com/title/tt1611211/
Minele regelui Solomon,6.7,1h 43m,"Compton Bennett, Andrew Marton","Helen Deutsch, H. Rider Haggard","Deborah Kerr, Stewart Granger, Richard Carlson, Hugo Haas, Lowell Gilmore, Kimursi, Siriaque, Sekaryongo, Baziga, Munto Anampio","Adventure Epic, Jungle Adventure, Quest, Steamy Romance, Survival, Action, Adventure, Romance",N/A,"$2,258,000 (estimated)",$951,https://www.imdb.com/title/tt0042646/
Two Much,5.4,1h 58m,Fernando Trueba,"Donald E. Westlake, Fernando Trueba, David Trueba","Antonio Banderas, Melanie Griffith, Daryl Hannah, Danny Aiello, Joan Cusack, Eli Wallach, Gabino Diego, Austin Pendleton, Allan Rich, Vincent Schiavelli","Romantic Comedy, Comedy, Romance",N/A,"$24,000,000 (estimated)","$1,141,556",https://www.imdb.com/title/tt0118001/
Die Fremde,7.5,1h 59m,Feo Aladag,Feo Aladag,"Sibel Kekilli, Nizam Schiller, Derya Alabora, Settar Tanriögen, Tamer Yigit, Serhad Can, Almila Bagriacik, Florian Lukas, Nursel Köse, Alwara Höfels","German, Drama",N/A,N/A,"$1,338,132",https://www.imdb.com/title/tt1288376/
Killer of Sheep,7.2,1h 20m,Charles Burnett,Charles Burnett,"Henry G. Sanders, Kaycee Moore, Charles Bracy, Angela Burnett, Eugene Cherry, Jack Drummond, Slim, Delores Farley, Dorothy Stengel, Tobar Mayo",Drama,N/A,"$100,000 (estimated)","$563,601",https://www.imdb.com/title/tt0076263/
Phantasm IV: Oblivion,5.5,1h 30m,Don Coscarelli,Don Coscarelli,"A. Michael Baldwin, Reggie Bannister, Bill Thornbury, Heidi Marnhout, Bob Ivy, Angus Scrimm, Christopher L. Stone, Chloe Kay, Sylvia Flammer, David Gasster","B-Horror, Dark Comedy, Fantasy, Horror, Sci-Fi",N/A,"$650,000 (estimated)",N/A,https://www.imdb.com/title/tt0138703/
Expelled,4.7,1h 25m,Alex Goyette,Alex Goyette,"Cameron Dallas, Matt Shively, Lia Marie Johnson, Marcus Johns, Andrea Russett, Emilio Palame, Kristina Hayes, Teala Dunn, Michelle Glavan, Circus-Szalewski",Comedy,N/A,N/A,N/A,https://www.imdb.com/title/tt4189442/
Die Sehnsucht der Veronika Voss,7.6,1h 44m,Rainer Werner Fassbinder,"Rainer Werner Fassbinder, Pea Fröhlich, Peter Märthesheimer","Rosel Zech, Hilmar Thate, Cornelia Froboess, Annemarie Düringer, Doris Schade, Erik Schumann, Peter Berling, Günther Kaufmann, Sonja Neudorfer, Lilo Pempeit","German, Drama",N/A,"DEM 2,600,000 (estimated)","$8,408",https://www.imdb.com/title/tt0084654/
Fantoma de la operă,6.4,1h 32m,Arthur Lubin,"Writers, Eric Taylor, Samuel Hoffenstein, Hans Jacoby, ","Nelson Eddy, Susanna Foster, Claude Rains, Edgar Barrier, Leo Carrillo, Jane Farrar, J. Edward Bromberg, Fritz Feld, Frank Puglia, Steven Geray","Dark Romance, Drama, Horror, Music, Romance, Thriller",N/A,"$1,500,000 (estimated)",N/A,https://www.imdb.com/title/tt0036261/
Danton,7.4,2h 16m,Andrzej Wajda,"Writers, Jean-Claude Carrière, Stanislawa Przybyszewska, Andrzej Wajda, ","Gérard Depardieu, Wojciech Pszoniak, Anne Alvaro, Roland Blanche, Patrice Chéreau, Emmanuelle Debever, Krzysztof Globisz, Ronald Guttman, Gérard Hardy, Tadeusz Huk","French, Period Drama, Biography, Drama, History",N/A,N/A,N/A,https://www.imdb.com/title/tt0083789/
Scene de viata sexuala,5.9,1h 31m,Ed Blum,Aschlin Ditta,"Holly Aird, Eileen Atkins, Hugh Bonneville, Tom Hardy, Douglas Hodge, Adrian Lester, Andrew Lincoln, Ewan McGregor, Gina McKee, Elle Mckenzie","Quirky Comedy, Romantic Comedy, Comedy, Drama, Romance",N/A,"£260,000 (estimated)","$429,931",https://www.imdb.com/title/tt0475380/
"Băieţi buni, băieţi răi",6.1,1h 36m,Bruno Corbucci,"Bruno Corbucci, Luciano Vincenzoni","Terence Hill, Bud Spencer, C.B. Seay, William 'Bo' Jim, Ken Ceresne, Jackie Castellano, C.V. Wood Jr., Richard Liberty, Rhonda S. Lundstead, Buffy Dee","Italian, Buddy Comedy, Action, Comedy, Crime",N/A,N/A,N/A,https://www.imdb.com/title/tt0089591/
Die Wand,6.7,1h 48m,Julian Pölsler,"Marlen Haushofer, Julian Pölsler","Martina Gedeck, Luchs von Kyffhäuserbach, Karlheinz Hackl, Ulrike Beimpold, Julia Gschnitzer, Hans-Michael Rehberg, Wolfgang M. Bauer","German, Drama, Mystery, Sci-Fi",N/A,N/A,"$3,889,260",https://www.imdb.com/title/tt1745686/
Histoire d'O,5.3,1h 45m,Just Jaeckin,"Sébastien Japrisot, Dominique Aury","Corinne Cléry, Udo Kier, Anthony Steel, Jean Gaven, Christiane Minazzoli, Martine Kelly, Jean-Pierre Andréani, Gabriel Cattand, Li Sellgren, Albane Navizet","French, Psychological Drama, Drama",N/A,N/A,N/A,https://www.imdb.com/title/tt0073115/
The Skydivers,1.9,1h 15m,Coleman Francis,Coleman Francis,"Kevin Casey, Eric Tomlin, Anthony Cardoza, Marcia Knight, Bob Carrano, Michael Rae, Jerry Mann, Keith Walton, Paul Francis, Titus Moede","Drama, Sport",N/A,N/A,N/A,https://www.imdb.com/title/tt0057507/
Oraşul care se temea de asfinţit,6.0,1h 30m,Charles B. Pierce,Earl E. Smith,"Ben Johnson, Andrew Prine, Dawn Wells, Jimmy Clem, Jim Citty, Charles B. Pierce, Robert Aquino, Cindy Butler, Christine Ellsworth, Earl E. Smith","Slasher Horror, True Crime, Crime, Drama, Horror, Mystery, Thriller",N/A,"$400,000 (estimated)",N/A,https://www.imdb.com/title/tt0075342/
Mavi Boncuk,7.8,1h 16m,Ertem Egilmez,Sadik Sendil,"Emel Sayin, Tarik Akan, Kemal Sunal, Zeki Alasya, Metin Akpinar, Halit Akçatepe, Münir Özkul, Adile Nasit, Perran Kutman, Feridun Çölgeçen","Turkish, Comedy, Romance",N/A,N/A,N/A,https://www.imdb.com/title/tt0252695/
La casa del fin de los tiempos,6.7,1h 41m,Alejandro Hidalgo,"Alejandro Hidalgo, Frank Baiz Quevedo","Ruddy Rodríguez, Guillermo García Alvarado, Rosmel Bustamante, Gonzalo Cubero, Héctor Mercado, Yucemar Morales, Efraín Romero, Simona Chirinos, Adriana Calzadilla, José León","Spanish, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,"$300,000 (estimated)","$4,588,899",https://www.imdb.com/title/tt2640474/
Old Joy,6.8,1h 16m,Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt","Daniel London, Will Oldham, Tanya Smith, Robin Rosenberg, Keri Moran, Autumn Campbell, Steve Doughton, Lucy, Matt McCormick, P.C. Peri",Drama,N/A,"$30,000 (estimated)","$301,440",https://www.imdb.com/title/tt0468526/
Carrington,6.8,2h 1m,Christopher Hampton,"Christopher Hampton, Michael Holroyd","Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell, Penelope Wilton, Janet McTeer, Peter Blythe, Jeremy Northam, Alex Kingston","Period Drama, Biography, Drama, Romance",N/A,N/A,"$3,242,342",https://www.imdb.com/title/tt0112637/
Povestea naşterii,6.5,1h 45m,Debbie Isitt,Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen, Pam Ferris, Alan Carr, Ricky Tomlinson, Rosie Cavaliero, John Sessions, Phyllis Logan","Comedy, Family",N/A,N/A,"$8,499,046",https://www.imdb.com/title/tt1242447/
Sub cărbunii înghețați,6.7,1h 50m,Yi'nan Diao,Yi'nan Diao,"Fan Liao, Lun-Mei Gwei, Xuebing Wang, Jingchun Wang, Ailei Yu, Jingyang Ni, Liang Wang","Mandarin, Crime, Drama, Mystery, Thriller",N/A,N/A,"$16,830,885",https://www.imdb.com/title/tt3469910/
Troppo belli,1.7,1h 37m,Ugo Fabrizio Giordani,"Maurizio Costanzo, Stefano Sudriè","Costantino Vitagliano, Daniele Interrante, Jennifer Poli, Alessandra Pierelli, Fausto Maria Sciarappa, Kiara Tomaselli, Ernesto Mahieux, Fanny Cadeo, Marta Mangiucca","Italian, Comedy",N/A,"€2,000,000 (estimated)","$903,391",https://www.imdb.com/title/tt0469849/
Luminã tãcutã,7.2,2h 25m,Carlos Reygadas,Carlos Reygadas,"Cornelio Wall, Miriam Toews, Maria Pankratz, Peter Wall, Jacobo Klassen, Elizabeth Fehr, Jacques Brel","Drama, Romance",N/A,"€980,000 (estimated)","$877,577",https://www.imdb.com/title/tt0841925/
Maurice Richard,7.6,2h 4m,Charles Binamé,Ken Scott,"Roy Dupuis, Stephen McHattie, Julie Le Breton, Philip Craig, Patrice Robitaille, Michel Barrette, Diane Lavallée, Tony Calabretta, François Langlois-Vallières, Pierre-François Legendre","French, Biography, Drama, Sport",N/A,"CA$8,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0460505/
Gadar: Ek Prem Katha,7.3,2h 50m,Anil Sharma,Shaktimaan Talwar,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Tony Mirrcandani, Mushtaq Khan","Hindi, Action Epic, One-Person Army Action, Period Drama, Action, Drama, Romance",N/A,"₹185,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0284137/
Elevator,5.3,1h 24m,Stig Svendsen,Marc Rosenberg,"Christopher Backus, Aníta Briem, John Getz, Shirley Knight, Michael Mercurio, Amanda Pace, Rachel Pace, Devin Ratray, Joey Slotnick, Tehmina Sunny","B-Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Supernatural Horror, Survival, Horror, Thriller",N/A,"$200,000 (estimated)","$14,221",https://www.imdb.com/title/tt1728975/
Barcelona,7.0,1h 41m,Whit Stillman,Whit Stillman,"Taylor Nichols, Chris Eigeman, Tushka Bergen, Mira Sorvino, Pep Munné, Hellena Taylor, Núria Badia, Thomas Gibson, Jack Gilpin, Pere Ponce","Dark Comedy, Comedy, Drama, Romance",N/A,"$3,200,000 (estimated)","$7,266,973",https://www.imdb.com/title/tt0109219/
Sunete periculoase,5.7,1h 36m,Pål Sletaune,Pål Sletaune,"Noomi Rapace, Kristoffer Joner, Vetle Qvenild Werring, Stig R. Amdam, Maria Bock, Torkil Høeg, Henrik Rafaelsen, Tom Hugo Nielsen, Mona Engh, Eva Zeidler","Norwegian, Horror, Thriller",N/A,"NOK 25,000,000 (estimated)","$1,417,397",https://www.imdb.com/title/tt1595833/
Dark Horse,5.9,1h 26m,Todd Solondz,Todd Solondz,"Melisa Young, Jordan Gelber, Selma Blair, Mia Farrow, Christopher Walken, Zachary Booth, Donna Murphy, Tyler Maynard, Mary Joy, Peter McRobbie","Comedy, Drama",N/A,"$2,000,000 (estimated)","$337,150",https://www.imdb.com/title/tt1690455/
Fără ieșire,7.2,1h 33m,William Wyler,"Lillian Hellman, Sidney Kingsley","Sylvia Sidney, Joel McCrea, Humphrey Bogart, Wendy Barrie, Claire Trevor, Allen Jenkins, Marjorie Main, Billy Halop, Huntz Hall, Bobby Jordan","Film Noir, Crime, Drama, Romance",N/A,"$300,000 (estimated)",N/A,https://www.imdb.com/title/tt0028773/
7 Zwerge,4.8,1h 35m,Sven Unterwaldt Jr.,"Writers, Bernd Pfarr, Pit Knorr, Hans Zippert, ","Otto Waalkes, Mirco Nontschew, Boris Aljinovic, Heinz Hoenig, Markus Majowski, Martin Schneider, Ralf Schmitz, Cosma Shiva Hagen, Nina Hagen, Hans Werner Olm","German, Comedy, Family, Fantasy",N/A,N/A,"$58,477,595",https://www.imdb.com/title/tt0382295/
Cetatea femeilor,6.9,2h 19m,Federico Fellini,"Federico Fellini, Bernardino Zapponi, Brunello Rondi","Marcello Mastroianni, Anna Prucnal, Bernice Stegers, Jole Silvani, Donatella Damiani, Ettore Manni, Fiammetta Baralla, Hélène Calzarelli, Catherine Carrel, Marcello Di Falco","Italian, Satire, Comedy, Drama, Fantasy",N/A,N/A,"$12,932",https://www.imdb.com/title/tt0080539/
Tanin no kao,7.8,2h 2m,Hiroshi Teshigahara,Kôbô Abe,"Tatsuya Nakadai, Mikijirô Hira, Kyôko Kishida, Miki Irie, Eiji Okada, Minoru Chiaki, Hideo Kanze, Kunie Tanaka, Etsuko Ichihara, Eiko Muramatsu","Japanese, Drama, Sci-Fi, Thriller",N/A,N/A,"$35,185",https://www.imdb.com/title/tt0061065/
Bande de filles,6.9,1h 53m,Céline Sciamma,Céline Sciamma,"Karidja Touré, Assa Sylla, Lindsay Karamoh, Mariétou Touré, Idrissa Diabaté, Simina Soumaré, Dielika Coulibaly, Cyril Mendy, Djibril Gueye, Binta Diop","French, Coming-of-Age, Teen Drama, Drama",N/A,"€2,966,000 (estimated)","$1,862,990",https://www.imdb.com/title/tt3655522/
Cântecul Bernadettei,7.6,2h 36m,Henry King,"George Seaton, Franz Werfel","William Eythe, Charles Bickford, Vincent Price, Lee J. Cobb, Gladys Cooper, Anne Revere, Roman Bohnen, Mary Anderson, Patricia Morison, Aubrey Mather","Biography, Drama, Mystery",N/A,"$2,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0036377/
