Title,Rating,Runtime,Directors,Writers,Stars,Genres,Popularity,Budget,Gross Worldwide,URL
Carte de capatai,6.5,2h 6m,Peter Greenaway,"Sei Shonagon, Peter Greenaway","Vivian Wu, Yoshi Oida, Ken Ogata, Hideko Yoshida, Ewan McGregor, Judy Ongg, Ken Mitsuishi, Yutaka Honda, Barbara Lott, Miwako Kawai","Psychological Drama, Drama",N/A,N/A,"$2,372,744",https://www.imdb.com/title/tt0114134/
O noapte memorabilă,7.9,2h 3m,Roy Ward Baker,"Walter Lord, Eric Ambler","Kenneth More, Ronald Allen, Robert Ayres, Honor Blackman, Anthony Bushell, John Cairney, Jill Dixon, Jane Downs, James Dyrenforth, Michael Goodliffe","Period Drama, Tragedy, Drama, History",N/A,"$1,680,000 (estimated)",$712,https://www.imdb.com/title/tt0051994/
Timbuktu,7.1,1h 36m,Abderrahmane Sissako,"Abderrahmane Sissako, Kessen Tall","Ibrahim Ahmed, Abel Jafri, Toulou Kiki, Layla Walet Mohamed, Mehdi A.G. Mohamed, Hichem Yacoubi, Kettly Noël, Fatoumata Diawara, Adel Mahmoud Cherif, Salem Dendou","French, Drama, War",N/A,N/A,"$7,179,391",https://www.imdb.com/title/tt3409392/
Furie oarbă,6.3,1h 26m,Phillip Noyce,"Ryôzô Kasahara, Charles Robert Carner","Rutger Hauer, Terry O'Quinn, Brandon Call, Noble Willingham, Lisa Blount, Nick Cassavetes, Rick Overton, Randall 'Tex' Cobb, Charles Cooper, Meg Foster","Martial Arts, Action, Comedy, Crime, Drama, Thriller",N/A,"$10,000,000 (estimated)","$2,692,037",https://www.imdb.com/title/tt0096945/
April Fool's Day,6.1,1h 29m,Fred Walton,Danilo Bach,"Jay Baker, Pat Barlow, Lloyd Berry, Deborah Foreman, Deborah Goodrich, Tom Heaton, Leah Pinsent, Mike Nomad, Ken Olandt, Griffin O'Neal","Dark Comedy, Slasher Horror, Horror, Mystery",N/A,"$5,000,000 (estimated)","$12,947,763",https://www.imdb.com/title/tt0090655/
Tetro,6.8,2h 7m,Francis Ford Coppola,"Mauricio Kartun, Francis Ford Coppola","Vincent Gallo, Alden Ehrenreich, Maribel Verdú, Silvia Pérez, Rodrigo de la Serna, Erica Rivas, Mike Amigorena, Lucas Di Conza, Adriana Mastrángelo, Klaus Maria Brandauer",Drama,N/A,"$5,000,000 (estimated)","$2,874,474",https://www.imdb.com/title/tt0964185/
Onibaba,7.8,1h 43m,Kaneto Shindô,Kaneto Shindô,"Nobuko Otowa, Jitsuko Yoshimura, Kei Satô, Jûkichi Uno, Taiji Tonoyama, Someshô Matsumoto, Kentarô Kaji, Hosui Araya, Fudeko Tanaka, Michinori Yoshida","Japanese, Folk Horror, Drama, Horror, Thriller","4,992",N/A,$689,https://www.imdb.com/title/tt0058430/
Iron Eagle,5.6,1h 57m,Sidney J. Furie,"Kevin Alyn Elders, Sidney J. Furie","Louis Gossett Jr., Jason Gedrick, David Suchet, Tim Thomerson, Larry B. Scott, Caroline Lagerfelt, Jerry Levine, Robbie Rist, Michael Bowen, Bobby Jacoby","One-Person Army Action, Action, Thriller, War",N/A,"$10,000,000 (estimated)","$24,159,872",https://www.imdb.com/title/tt0091278/
Ultima sansa,5.5,1h 42m,Deran Sarafian,David Twohy,"Charlie Sheen, Nastassja Kinski, James Gandolfini, Christopher McDonald, Gary Bullock, Hans Howes, Melvin Van Peebles, Suli McCullough, Cathryn de Prume, Richard Sarafian Jr.","Action, Mystery, Romance, Thriller",N/A,"$50,000,000 (estimated)","$16,487,349",https://www.imdb.com/title/tt0111400/
"Craciun fericit, domnule Lawrence!",7.2,2h 3m,Nagisa Ôshima,"Nagisa Ôshima, Paul Mayersberg, Lourens van der Post","David Bowie, Tom Conti, Ryûichi Sakamoto, Takeshi Kitano, Jack Thompson, Johnny Ôkura, Alistair Browning, James Malcolm, Chris Broun, Yûya Uchida","Drama, War",N/A,N/A,"$2,376,612",https://www.imdb.com/title/tt0085933/
Razbunarea,6.3,1h 51m,Sean Penn,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright, Piper Laurie, Richard Bradford, Priscilla Barnes, David Baerwald, Robbie Robertson, John Savage","Drama, Thriller",N/A,"$9,000,000 (estimated)","$868,979",https://www.imdb.com/title/tt0112744/
Animal Factory,6.6,1h 34m,Steve Buscemi,"Edward Bunker, John Steppling","Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior, Seymour Cassel, Mickey Rourke, Tom Arnold, John Heard, Chris Bauer, Rockets Redglare","Prison Drama, Crime, Drama",N/A,"$3,600,000 (estimated)","$43,805",https://www.imdb.com/title/tt0204137/
Sparks,4.7,1h 37m,"Todd Burrows, Christopher Folino",Christopher Folino,"Chase Williamson, Ashley Bell, Clancy Brown, Jake Busey, William Katt, Marina Squerciati, Clint Howard, Scott Rinker, David Sobolov, Larry Cedar","Superhero, Action, Sci-Fi, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt2234429/
Bhool Bhulaiyaa,7.5,2h 39m,Priyadarshan,"Writers, Neeraj Vora, Manisha Korde, Madhu Muttam, ","Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel, Manoj Joshi, Paresh Rawal, Rasika Joshi, Rajpal Naurang Yadav, Govardhan Asrani, Vikram Gokhale","Hindi, Psychological Horror, Comedy, Horror, Mystery, Thriller",N/A,N/A,"$19,073,095",https://www.imdb.com/title/tt0995031/
Mediterraneo,7.4,1h 36m,Gabriele Salvatores,Enzo Monteleone,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio, Gigio Alberti, Ugo Conti, Memo Dini, Vasco Mirandola, Vana Barba, Luigi Montini","Italian, Comedy, Drama, War",N/A,N/A,"$4,532,791",https://www.imdb.com/title/tt0102426/
Masini uzate,6.7,1h 53m,Robert Zemeckis,"Robert Zemeckis, Bob Gale","Kurt Russell, Jack Warden, Gerrit Graham, Frank McRae, Deborah Harmon, Joe Flaherty, David L. Lander, Michael McKean, Michael Talbott, Harry Northup","Dark Comedy, Satire, Comedy",N/A,"$8,000,000 (estimated)","$11,715,321",https://www.imdb.com/title/tt0081698/
O zi la curse,7.5,1h 51m,Sam Wood,"Writers, Robert Pirosh, George Seaton, George Oppenheimer, ","The Marx Brothers, Groucho Marx, Chico Marx, Harpo Marx, Allan Jones, Maureen O'Sullivan, Margaret Dumont, Leonard Ceeley, Douglass Dumbrille, Esther Muir","Farce, Comedy, Family, Musical, Sport",N/A,"$2,016,000 (estimated)",N/A,https://www.imdb.com/title/tt0028772/
Licurici în gradina,6.4,1h 39m,Dennis Lee,Dennis Lee,"Ryan Reynolds, Willem Dafoe, Emily Watson, Carrie-Anne Moss, Julia Roberts, Ioan Gruffudd, Hayden Panettiere, Shannon Lucio, Cayden Boyd, George Newbern","Coming-of-Age, Psychological Drama, Drama",N/A,"$8,000,000 (estimated)","$6,692,182",https://www.imdb.com/title/tt0961108/
Revenge of the Nerds II: Nerds in Paradise,5.1,1h 28m,Joe Roth,"Writers, Tim Metcalfe, Miguel Tejada-Flores, Steve Zacharias, ","Robert Carradine, Curtis Armstrong, Larry B. Scott, Timothy Busfield, Courtney Thorne-Smith, Andrew Cassese, Donald Gibb, Bradley Whitford, Ed Lauter, Barry Sobel","Raunchy Comedy, Teen Comedy, Comedy",N/A,N/A,"$30,063,289",https://www.imdb.com/title/tt0093857/
Extinction,5.8,1h 52m,Miguel Ángel Vivas,"Alberto Marini, Miguel Ángel Vivas, Juan de Dios Garduño","Matthew Fox, Jeffrey Donovan, Quinn McColgan, Clara Lago, Valeria Vereau, Eduardo Fedriani, Daniel Bargueño, Adam Zambryzcki, Matt Devere, Alex Hafner","Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi, Thriller",N/A,"€7,000,000 (estimated)","$2,350,695",https://www.imdb.com/title/tt3467412/
Welcome to Mooseport,5.3,1h 50m,Donald Petrie,"Doug Richardson, Tom Schulman","Gene Hackman, Ray Romano, Maura Tierney, Marcia Gay Harden, Christine Baranski, Fred Savage, Rip Torn, June Squibb, Wayne Robson, John Rothman","Satire, Comedy, Romance",N/A,"$30,000,000 (estimated)","$14,615,099",https://www.imdb.com/title/tt0361925/
