Rating,Popularity,Runtime (minutes),ROI,directors_freq,writers_freq,stars_freq,genres_freq
9.3,55.0,142,1.17336132,0.0009436187780136825,0.004264594389689159,0.004004368401892974,33.35960591133005
9.1,92.0,152,5.455366881081081,0.0021231422505307855,0.002558756633813495,0.005824535857298871,73.54679802955665
8.8,84.0,148,5.24866545625,0.0021231422505307855,0.0008529188779378317,0.003617582817619221,41.70443349753695
8.8,148.0,139,1.608269984126984,0.0023590469450342063,0.0003790750568612585,0.0024572260647979616,63.610837438423644
8.8,141.0,154,26.74109525,0.0025949516395376267,0.001800606520090978,0.0057335274845285765,45.30541871921182
8.8,231.0,142,12.331390272727273,0.00377447511205473,0.0011372251705837756,0.0015698944302875864,45.206896551724135
8.9,106.0,178,9.564193021505377,0.003066761028544468,0.002274450341167551,0.002661994903531125,45.793103448275865
8.7,207.0,136,7.426124619047619,0.0033026657230478887,0.001800606520090978,0.002844011649071715,18.571428571428573
9.0,312.0,201,12.121572925531915,0.003066761028544468,0.002274450341167551,0.002343465598835093,42.891625615763544
9.2,56.0,175,41.8207955,0.004718093890068413,0.0021796815769522366,0.003936112122315253,43.354679802955665
8.4,381.0,164,4.460200908,0.0021231422505307855,0.002558756633813495,0.006416090280305788,68.88669950738917
8.8,507.0,179,9.987535382978724,0.003066761028544468,0.002274450341167551,0.002411721878412814,45.793103448275865
8.6,95.0,127,9.969180121212121,0.0023590469450342063,0.0005686125852918878,0.00336730979250091,53.206896551724135
8.0,734.0,143,6.9115388,0.0009436187780136825,0.0016110689916603487,0.005073716781943939,17.27093596059113
8.5,268.0,155,4.519575223300971,0.005425807973578675,0.0024639878695981803,0.0032307972333454676,52.58128078817734
8.2,340.0,140,2.50363742,0.0021231422505307855,0.0029378316906747536,0.006256825627957772,71.80788177339902
8.5,233.0,165,4.26076293,0.0025949516395376267,0.0011372251705837756,0.00416363305424099,40.74384236453202
8.7,78.0,169,4.600975896969697,0.0021231422505307855,0.001326762699014405,0.0026164907171459775,47.8128078817734
8.6,477.0,121,70.49077336363636,0.0014154281670205238,0.0012319939347990902,0.0022069530396796504,16.34975369458128
8.6,86.0,118,14.354890631578947,0.0021231422505307855,0.0011372251705837756,0.003526574444848926,65.27093596059113
7.9,510.0,162,12.336332101265823,0.001887237556027365,0.0009476876421531463,0.0035720786312340735,30.7192118226601
8.4,109.0,153,4.592296342857143,0.0025949516395376267,0.0011372251705837756,0.0029122679286494356,47.27093596059113
8.6,453.0,169,6.890748428571428,0.006841236140599198,0.0002843062926459439,0.004641427011285038,41.45812807881774
8.5,145.0,151,3.2455104666666665,0.005661712668082095,0.001326762699014405,0.006279577721150346,55.50246305418719
9.0,167.0,195,14.643692954545454,0.006841236140599198,0.001326762699014405,0.003299053512923189,41.94581280788177
8.4,282.0,113,4.451123111111111,0.0021231422505307855,0.001326762699014405,0.002821259555879141,51.600985221674875
8.5,156.0,130,2.741907775,0.0021231422505307855,0.0014215314632297195,0.0043456497997815795,59.576354679802954
8.7,712.0,124,30.556449222222223,0.0009436187780136825,0.0031273692191053828,0.0024344739716053877,6.699507389162561
8.3,396.0,122,23.753106733333333,0.0016513328615239443,0.00018953752843062926,0.003845103749544958,39.61576354679803
8.1,266.0,143,4.673318185714286,0.0021231422505307855,0.003411675511751327,0.0032763014197306154,24.310344827586206
7.9,261.0,194,11.32406484,0.001887237556027365,0.0009476876421531463,0.0041863851474335636,49.0935960591133
8.1,779.0,132,2.494193648148148,0.0009436187780136825,0.0018953752843062926,0.0029122679286494356,62.50738916256157
9.0,258.0,202,3.704050692307692,0.004718093890068413,0.0021796815769522366,0.004800691663633054,43.354679802955665
8.2,163.0,138,3.6872317125,0.005661712668082095,0.0008529188779378317,0.005346741900254823,51.600985221674875
8.5,434.0,119,1.1937857,0.00047180938900684123,0.00047384382107657316,0.0022752093192573717,44.49261083743843
8.6,238.0,189,4.7800229,0.0009436187780136825,0.004264594389689159,0.0045049144521295955,56.30541871921182
8.2,195.0,180,4.07039432,0.005661712668082095,0.0003790750568612585,0.0033218056061157628,72.00985221674877
8.6,423.0,137,5.076260519607843,0.001887237556027365,0.0014215314632297195,0.0024572260647979616,30.773399014778324
8.5,178.0,106,3.890454,0.0021231422505307855,0.000758150113722517,0.004391153986166727,53.142857142857146
8.3,484.0,178,2.961336333333333,0.0009436187780136825,0.00047384382107657316,0.0006143065161994904,39.532019704433495
8.2,371.0,111,6.030280433333333,0.0025949516395376267,0.001326762699014405,0.00257098653076083,36.99014778325123
8.5,229.0,116,20.26596352631579,0.00377447511205473,0.0017058377558756635,0.0022069530396796504,33.25615763546798
8.7,223.0,145,1.88300992,0.005661712668082095,0.000758150113722517,0.004095376774663269,44.12807881773399
8.5,257.0,110,1.27067425,0.0033026657230478887,0.0037907505686125853,0.0025937386239534036,65.23645320197045
8.4,760.0,98,2.930020311111111,0.0011795234725171032,0.0014215314632297195,0.0017291590826356024,16.70935960591133
