Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Tron: Mostenirea,6.8,40.0,170000000.0,400070675.0,https://www.imdb.com/title/tt1104001/,125,2.3533569117647057,Joseph Kosinski,Edward Kitsis,Jeff Bridges,Artificial Intelligence
Zborul,7.3,1968.0,31000000.0,161772375.0,https://www.imdb.com/title/tt1907668/,138,5.21846370967742,Robert Zemeckis,John Gatins,Nadine Velazquez,Docudrama
The Island,6.8,2479.0,126000000.0,162949164.0,https://www.imdb.com/title/tt0399201/,136,1.2932473333333334,Michael Bay,Caspian Tredwell-Owen,Ewan McGregor,Dystopian Sci-Fi
Masini,7.3,664.0,120000000.0,461996328.0,https://www.imdb.com/title/tt0317219/,116,3.8499694,John Lasseter,John Lasseter,Owen Wilson,Computer Animation
Slevin: Nevinovat cu ghinion,7.7,2880.0,27000000.0,56308881.0,https://www.imdb.com/title/tt0425210/,110,2.0855141111111113,Paul McGuigan,Jason Smilovic,Josh Hartnett,Caper
Echilibru,7.3,2650.0,20000000.0,5368217.0,https://www.imdb.com/title/tt0238380/,107,0.26841085,Kurt Wimmer,Kurt Wimmer,Dominic Purcell,Dystopian Sci-Fi
Speed: Cursa infernala,7.3,1256.0,30000000.0,350448145.0,https://www.imdb.com/title/tt0111257/,116,11.681604833333333,Jan de Bont,Graham Yost,Keanu Reeves,Car Action
Jocul,7.7,747.0,50000000.0,109423648.0,https://www.imdb.com/title/tt0119174/,129,2.18847296,David Fincher,John Brancato,Michael Douglas,Conspiracy Thriller
Aladdin,8.0,1736.0,28000000.0,504050219.0,https://www.imdb.com/title/tt0103639/,90,18.001793535714285,Ron Clements,Ron Clements,Scott Weinger,Desert Adventure
Un socru de coșmar,7.0,3012.0,55000000.0,330444045.0,https://www.imdb.com/title/tt0212338/,108,6.008073545454545,Jay Roach,Greg Glienna,Robert De Niro,Romantic Comedy
Moon,7.8,1705.0,5000000.0,9760107.0,https://www.imdb.com/title/tt1182345/,97,1.9520214,Duncan Jones,Duncan Jones,Sam Rockwell,Psychological Drama
Brokeback Mountain - O iubire secretă,7.7,1113.0,14000000.0,179139702.0,https://www.imdb.com/title/tt0388795/,134,12.795693,Ang Lee,Annie Proulx,Heath Ledger,Contemporary Western
Fortareata,7.4,1660.0,75000000.0,335062621.0,https://www.imdb.com/title/tt0117500/,136,4.467501613333333,Michael Bay,David Weisberg,Sean Connery,Conspiracy Thriller
Pact cu Diavolul,7.5,587.0,57000000.0,152944660.0,https://www.imdb.com/title/tt0118971/,144,2.683239649122807,Taylor Hackford,Andrew Neiderman,Keanu Reeves,Legal Thriller
Viețile altora,8.4,522.0,2000000.0,77672685.0,https://www.imdb.com/title/tt0405094/,137,38.8363425,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Martina Gedeck,German
Simpsonii - filmul,7.3,4631.0,75000000.0,536414293.0,https://www.imdb.com/title/tt0462538/,87,7.152190573333334,David Silverman,James L. Brooks,Dan Castellaneta,Adult Animation
Creatura,8.2,222.0,15000000.0,20847529.0,https://www.imdb.com/title/tt0084787/,109,1.3898352666666667,John Carpenter,Bill Lancaster,Kurt Russell,Alien Invasion
O alta adresa de pomina,7.0,2171.0,50000000.0,331333876.0,https://www.imdb.com/title/tt2294449/,112,6.62667752,Phil Lord,Michael Bacall,Jonah Hill,Buddy Cop
Acum sunt 13,6.9,3083.0,85000000.0,311312624.0,https://www.imdb.com/title/tt0496806/,122,3.6625014588235296,Steven Soderbergh,Brian Koppelman,George Clooney,Caper
Clubul micului dejun,7.8,621.0,1000000.0,52084721.0,https://www.imdb.com/title/tt0088847/,97,52.084721,John Hughes,John Hughes,Emilio Estevez,Coming-of-Age
